S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,ROCE %,Sales Rs.Cr.,OPM %,Debt / Eq,EPS 12M Rs.,Prom. Hold. %,Free Cash Flow 3Yrs Rs.Cr.,CF Opr 3Yrs Rs.Cr.,Ind PE,Chg in FII Hold %,Chg in DII Hold %,WC Days,Cash Cycle,Mar Cap Rs.Cr._num,P/E_num,Ind PE_num,ROCE %_num,Sales Rs.Cr._num,OPM %_num,Debt / Eq_num,EPS 12M Rs._num,Prom. Hold. %_num,Free Cash Flow 3Yrs Rs.Cr._num,CF Opr 3Yrs Rs.Cr._num,Chg in FII Hold %_num,Chg in DII Hold %_num,WC Days_num,Cash Cycle_num,sc_roce,sc_fcf3,sc_debteq,sc_valuation,sc_cfop3,sc_opm,sc_prom,sc_wceff,investment_score,rank
20,Travel Food,1290.0,42.59,16986.65,41.69,1687.74,32.83,0.32,27.58,86.19,1030.65,1205.7,144.39,,,-60.6,-427.08,16986.65,42.59,144.39,41.69,1687.74,32.83,0.32,27.58,86.19,1030.65,1205.7,,,-60.6,-427.08,0.6003465274049494,1.0,0.2677345537757435,0.7305659359354402,1.0,0.5962621224122806,1.0,1.0,0.7795255666933364,1
16,Ganesh Housing,812.5,12.86,6775.2,44.02,833.42,84.41,0.03,63.19,73.06,681.61,1078.31,40.05,-0.04,-0.1,429.09,130.82,6775.2,12.86,40.05,44.02,833.42,84.41,0.03,63.19,73.06,681.61,1078.31,-0.04,-0.1,429.09,130.82,0.6572063058226371,0.9691791320366787,0.931350114416476,1.0,0.9664162691519916,1.0,0.9179072735006384,0.12073296913848264,0.7790590349745142,2
23,Action Const.Eq.,1022.0,29.11,12170.3,40.11,3232.42,15.48,0.08,35.1,65.42,712.49,1119.68,32.55,-1.08,-0.22,-20.84,-18.09,12170.3,29.11,32.55,40.11,3232.42,15.48,0.08,35.1,65.42,712.49,1119.68,-1.08,-0.22,-20.84,-18.09,0.5617892527697793,1.0,0.8169336384439359,0.6770923257977546,1.0,0.22482926933698733,0.5929391748192261,0.714247839299347,0.7210275085476869,3
2,Tips Music,495.0,36.39,6327.66,108.83,333.45,65.14,0.01,13.6,64.15,429.34,434.26,39.63,0.05,0.95,64.13,32.28,6327.66,36.39,39.63,108.83,333.45,65.14,0.01,13.6,64.15,429.34,434.26,0.05,0.95,64.13,32.28,1.0,0.6094835194762053,0.977116704805492,0.6619693815609092,0.3870777971375345,1.0,0.538919608677159,0.4617755383513953,0.7207254034322019,4
37,BLS Internat.,313.95,22.88,12926.61,33.62,2411.2,29.05,0.21,13.72,70.39,1146.54,1439.21,36.98,-1.72,0.03,-41.72,20.26,12926.61,22.88,36.98,33.62,2411.2,29.05,0.21,13.72,70.39,1146.54,1439.21,-1.72,0.03,-41.72,20.26,0.4034115867050615,1.0,0.5194508009153317,0.8512839368567606,1.0,0.515338999379162,0.8043385793279458,0.7215001586202794,0.717731643815577,5
3,Waaree Renewab.,1180.6,34.85,12307.35,82.31,2214.9,21.39,0.12,33.58,74.39,300.28,495.76,35.4,0.07,-0.02,-10.73,46.57,12307.35,34.85,35.4,82.31,2214.9,21.39,0.12,33.58,74.39,300.28,495.76,0.07,-0.02,-10.73,46.57,1.0,0.4254651433036334,0.7254004576659039,0.6201162110500817,0.4423985269393963,0.35135192995226017,0.9744789451297323,0.6208444416531658,0.6408703547259524,6
57,Elecon Engg.Co,537.75,26.86,12067.11,28.46,2395.16,24.79,0.11,23.05,59.27,970.49,1106.23,47.99,-1.3,0.33,63.29,87.42,12067.11,26.86,47.99,28.46,2395.16,24.79,0.11,23.05,59.27,970.49,1106.23,-1.3,0.33,63.29,87.42,0.2774903606813414,1.0,0.7482837528604118,0.8885822449844446,0.9915309809579752,0.42413992421485364,0.33134836239897947,0.4041793434228411,0.637946082071412,7
5,Esab India,4761.8,42.64,7329.85,70.03,1395.88,17.31,0.01,111.68,73.72,384.79,470.35,28.74,-0.03,-0.05,26.36,31.2,7329.85,42.64,28.74,70.03,1395.88,17.31,0.01,111.68,73.72,384.79,470.35,-0.03,-0.05,26.36,31.2,1.0,0.5459625318852548,0.977116704805492,0.3046140857847238,0.4195416205285783,0.2640063368371479,0.945980433857933,0.5509860090772759,0.6356673042271332,8
53,Master Trust,125.85,13.1,1548.16,30.09,528.38,43.18,0.22,10.29,71.93,584.95,597.61,17.38,-0.15,0.05,-472.77,100.37,1548.16,13.1,17.38,30.09,528.38,43.18,0.22,10.29,71.93,584.95,597.61,-0.15,0.05,-472.77,100.37,0.317267802235346,0.8313578377484345,0.49656750572082364,0.7892974237113924,0.5340150526356504,0.8178373402410579,0.8698426201616338,0.6536206714059519,0.635032091946623,9
21,Triveni Turbine,515.85,47.99,16397.85,41.36,1913.8,21.66,0.03,10.75,55.84,541.0,653.44,47.99,-1.85,1.73,47.25,19.68,16397.85,47.99,47.99,41.36,1913.8,21.66,0.03,10.75,55.84,541.0,653.44,-1.85,1.73,47.25,19.68,0.5922934257406417,0.7686923516738604,0.931350114416476,0.6102964312768941,0.5842354810069992,0.35713215302605433,0.18545299872394755,0.5147324792935649,0.6069810952857749,10
14,Prudent Corp.,2635.0,53.16,10910.66,44.06,1181.62,23.2,0.04,49.57,55.31,412.69,436.93,53.16,-0.62,0.71,0.32,46.51,10910.66,53.16,53.16,44.06,1181.62,23.2,0.04,49.57,55.31,412.69,436.93,-0.62,0.71,0.32,46.51,0.6581824393577047,0.5857433523967591,0.9084668192219679,0.6035553790125873,0.3894795263825909,0.39010083278028784,0.16290940025521078,0.5951510688261243,0.5753635444273154,11
113,Thomas Cook (I),155.8,28.69,7336.52,18.69,8441.59,5.51,0.21,5.33,63.83,1950.61,2194.83,36.98,0.91,-0.45,-63.43,28.34,7336.52,28.69,36.98,18.69,8441.59,5.51,0.21,5.33,63.83,1950.61,2194.83,0.91,-0.45,-63.43,28.34,0.03906974474108059,1.0,0.5194508009153317,0.7519834115078936,1.0,0.0113891802787352,0.5253083794130159,0.7314170981490001,0.572074271911413,12
73,Caplin Point Lab,1932.5,24.95,14689.26,25.85,2039.67,34.19,0.0,77.46,70.57,491.32,1022.13,32.82,0.35,-0.12,174.3,175.28,14689.26,24.95,32.82,25.85,2039.67,34.19,0.0,77.46,70.57,491.32,1022.13,0.35,-0.12,174.3,175.28,0.21379764751818064,0.6978568261178913,1.0,0.7618542953980256,0.9158810073590062,0.6253773201173181,0.8119948957890258,0.0727136836602662,0.5641489543531406,13
26,Indrapr.Medical,619.9,32.52,5682.81,39.1,1404.77,18.36,0.05,19.06,51.0,351.07,501.37,55.24,-0.32,-0.05,-18.66,20.3,5682.81,32.52,55.24,39.1,1404.77,18.36,0.05,19.06,51.0,351.07,501.37,-0.32,-0.05,-18.66,20.3,0.5371418810093225,0.4978833466648989,0.8855835240274599,0.8515684248865403,0.4474448569262003,0.2864849821241253,0.0,0.6677027896203376,0.5542686427743275,14
102,NESCO,1355.7,23.09,9552.26,21.12,831.07,57.58,0.0,58.7,68.54,121.33,1022.32,22.31,0.0,0.91,-23.11,0.18,9552.26,23.09,22.31,21.12,831.07,57.58,0.0,58.7,68.54,121.33,1022.32,0.0,0.91,-23.11,0.18,0.09836985699643716,0.17031181604436071,1.0,0.5881992258576154,0.9160519169307519,1.0,0.7256486601446198,0.6998067165751971,0.5454148893805069,15
92,Nucleus Soft.,1030.9,17.12,2760.06,22.6,865.89,19.07,0.0,60.22,73.6,376.36,422.81,32.5,-0.14,0.02,-42.94,60.26,2760.06,17.12,32.5,22.6,865.89,19.07,0.0,60.22,73.6,376.36,422.81,-0.14,0.02,-42.94,60.26,0.1344867977939383,0.5339427355801658,1.0,0.909395661322857,0.37677824662970816,0.3016848279848434,0.9408762228838792,0.6811418116074812,0.5416868631538778,16
4,Shilchar Tech.,4381.75,28.23,5012.81,71.3,715.63,30.79,0.0,155.48,64.01,121.23,155.26,35.4,0.61,0.2,112.48,119.76,5012.81,28.23,35.4,71.3,715.63,30.79,0.0,155.48,64.01,121.23,155.26,0.61,0.2,112.48,119.76,1.0,0.17016923245829796,1.0,0.7383106512291773,0.13611058389006375,0.5525893258547245,0.5329646958740966,0.2545856579990806,0.5415709860826231,17
7,Sigma Solve,55.36,24.87,568.96,58.79,89.37,31.7,0.05,2.23,73.22,36.49,45.15,33.8,0.0,0.0,78.06,100.34,568.96,24.87,33.8,58.79,89.37,31.7,0.05,2.23,73.22,36.49,45.15,0.0,0.0,78.06,100.34,1.0,0.04934390162873233,0.8855835240274599,0.7772812845022647,0.03706398944318561,0.5720708184367717,0.9247128881327097,0.3557953141609431,0.5366736834974917,18
105,Garware Hi Tech,3403.8,24.27,7907.84,20.57,2129.88,20.28,0.0,140.27,60.72,583.27,719.79,23.86,-0.28,0.07,27.68,67.86,7907.84,24.27,23.86,20.57,2129.88,20.28,0.0,140.27,60.72,583.27,719.79,-0.28,0.07,27.68,67.86,0.08494802088925768,0.8289624335025804,1.0,0.599435783282682,0.6439189025086826,0.3275887906488841,0.39302424500212685,0.5083141648461258,0.5357747754994177,19
1,Ksolves India,315.5,24.12,748.11,157.26,148.38,30.08,0.08,13.08,58.94,78.07,88.06,27.65,-0.39,0.0,22.95,56.07,748.11,24.12,27.65,157.26,148.38,30.08,0.08,13.08,58.94,78.07,88.06,-0.39,0.0,22.95,56.07,1.0,0.1086301567136195,0.8169336384439359,0.690986835354953,0.07566256693583424,0.5373894799940064,0.31731178222033185,0.5320739219902544,0.5294999608251516,20
9,Arrow Greentech,590.25,16.53,890.57,53.25,218.84,34.05,0.0,35.7,64.81,67.78,88.93,21.36,-0.13,0.58,70.05,80.87,890.57,16.53,21.36,53.25,218.84,34.05,0.0,35.7,64.81,67.78,88.93,-0.13,0.58,70.05,80.87,0.8824491190394854,0.09395830570776359,1.0,0.7532148501719552,0.07644515286961669,0.6223801674123877,0.5669927690344537,0.3954957665164377,0.5281595054240341,21
103,TajGVK Hotels,411.4,21.11,2579.54,20.8,465.27,31.88,0.12,19.49,74.99,242.67,339.29,34.4,0.18,-1.88,-31.46,-779.1,2579.54,21.11,34.4,20.8,465.27,31.88,0.12,19.49,74.99,242.67,339.29,0.18,-1.88,-31.46,-779.1,0.09056078871589637,0.34332273937288904,0.7254004576659039,0.85447573945726,0.3016499969865944,0.5759243004859678,1.0,0.9574395673558824,0.526137690180712,22
34,Cigniti Tech.,1689.6,16.26,4639.13,34.09,2148.2,16.74,0.02,104.14,55.04,415.05,446.49,33.8,0.55,-0.55,80.48,74.09,4639.13,16.26,33.8,34.09,2148.2,16.74,0.02,104.14,55.04,415.05,446.49,0.55,-0.55,80.48,74.09,0.4148811557421059,0.5891083250278398,0.954233409610984,0.9382823579927956,0.39807897641357953,0.25180364368136016,0.15142492556359008,0.3785056244963695,0.519384824876496,23
13,Advani Hotels.,57.54,21.12,531.89,45.29,105.28,31.27,0.01,2.72,50.25,66.69,76.38,34.4,-0.01,0.0,-45.2,-13.18,531.89,21.12,34.4,45.29,105.28,31.27,0.01,2.72,50.25,66.69,76.38,-0.01,0.0,-45.2,-13.18,0.6881985455610332,0.09240414461967973,0.977116704805492,0.8542920078483959,0.0651561258937896,0.5628652779859142,0.0,0.7657293052443894,0.5169229454761601,24
108,Jindal Saw,164.5,7.66,10519.91,19.37,18636.17,15.01,0.43,21.48,63.24,4445.05,6543.9,22.8,0.23,-0.42,41.18,136.35,10519.91,7.66,22.8,19.37,18636.17,15.01,0.43,21.48,63.24,4445.05,6543.9,0.23,-0.42,41.18,136.35,0.05566401483722975,1.0,0.016018306636155333,0.968866394463726,1.0,0.21476739954186413,0.5002126754572525,0.4028718709843202,0.5165394274521312,25
39,Escorp Asset Mgt,167.0,15.43,185.65,32.96,19.6,97.55,0.0,14.64,67.62,32.7,32.71,30.53,0.0,0.0,3.91,0.56,185.65,15.43,30.53,32.96,19.6,97.55,0.0,14.64,67.62,32.7,32.71,0.0,0.0,3.91,0.56,0.3873053833764462,0.0439399837169545,1.0,0.9228989432597277,0.025873910114158596,1.0,0.6865163760102088,0.6364111441627687,0.5109138491809946,26
75,EIH Assoc.Hotels,373.15,22.99,2273.84,25.7,412.5,31.65,0.01,15.5,75.0,194.7,277.51,34.4,-0.01,0.0,-16.97,23.63,2273.84,22.99,34.4,25.7,412.5,31.65,0.01,15.5,75.0,194.7,277.51,-0.01,0.0,-16.97,23.63,0.2101371467616771,0.27492539313859277,0.977116704805492,0.8199341969908125,0.2460774004474232,0.5710004067564394,1.0,0.660166717692139,0.5074503865338915,27
117,Route Mobile,696.6,14.95,4388.41,17.74,4529.04,10.63,0.01,27.15,74.86,485.32,578.1,14.95,-0.62,-0.67,7.39,74.41,4388.41,14.95,14.95,17.74,4529.04,10.63,0.01,27.15,74.86,485.32,578.1,-0.62,-0.67,7.39,74.41,0.015886573283225066,0.689301810954127,0.977116704805492,0.72531909372611,0.5164653381895639,0.12099933634475839,0.9944704381114421,0.5485369384704013,0.5070317868301951,28
12,ADC India,1514.95,31.01,696.88,46.57,183.56,14.5,0.0,48.85,72.02,41.12,41.12,54.76,-0.23,0.0,8.21,28.54,696.88,31.01,54.76,46.57,183.56,14.5,0.0,48.85,72.02,41.12,41.12,-0.23,0.0,8.21,28.54,0.7194348186831964,0.05594552166343717,1.0,0.8697127901612335,0.03343890747405547,0.2038492004024751,0.8736707783921736,0.5961676363050757,0.4988848422384731,29
29,Benares Hotels,9329.1,28.03,1212.78,37.33,136.9,42.86,0.02,332.85,62.58,80.21,110.22,34.4,0.0,0.0,-0.05,10.89,1212.78,28.03,34.4,37.33,136.9,42.86,0.02,332.85,62.58,80.21,110.22,0.0,0.0,-0.05,10.89,0.49394797208258123,0.11168144545536213,0.954233409610984,0.7273334661233147,0.09559602014574088,0.8109867054869315,0.47213951509995755,0.6344851510828449,0.49872059206171043,30
61,Newgen Software,947.95,41.03,13491.01,27.97,1532.45,25.64,0.03,23.27,53.76,579.33,632.74,27.65,-1.52,0.12,71.6,136.65,13491.01,41.03,27.65,27.97,1532.45,25.64,0.03,23.27,53.76,579.33,632.74,-1.52,0.12,71.6,136.65,0.26553272487676327,0.8233446402117086,0.931350114416476,0.3044500838082177,0.5656153329273481,0.4423369227805021,0.09698000850701835,0.33163711037302934,0.4967452853922541,31
59,Nicco Parks,94.49,26.88,442.21,28.15,76.56,29.94,0.0,2.24,69.38,45.3,62.67,35.24,0.0,0.0,-76.0,-216.17,442.21,26.88,35.24,28.15,76.56,29.94,0.0,2.24,69.38,45.3,62.67,0.0,0.0,-76.0,-216.17,0.26992532578456746,0.06190551556085969,1.0,0.760234771241617,0.052823651006252595,0.5343923272890762,0.7613781369629945,0.9955015671611163,0.4885053851450972,32
6,Network People,1770.0,94.08,3432.96,69.23,147.96,32.64,0.09,18.82,64.79,84.33,103.93,33.8,0.09,2.66,-3.1,67.1,3432.96,94.08,33.8,69.23,147.96,32.64,0.09,18.82,64.79,84.33,103.93,0.09,2.66,-3.1,67.1,1.0,0.11755588920114701,0.7940503432494279,0.0,0.08993801379690006,0.592194558027018,0.5661420672054449,0.5808849315735912,0.486569312443875,33
69,Dodla Dairy,1199.2,27.82,7234.51,26.55,3836.53,9.25,0.04,43.11,58.92,363.33,679.87,27.47,-1.12,2.28,-5.59,2.05,7234.51,27.82,27.47,26.55,3836.53,9.25,0.04,43.11,58.92,363.33,679.87,-1.12,2.28,-5.59,2.05,0.2308799843818636,0.5153640943161908,0.9084668192219679,0.6022435424136849,0.6080099019608725,0.09145597396758806,0.3164610803913231,0.6569468992121474,0.48463152839741047,34
8,One Global Serv,403.05,29.88,787.68,56.38,196.07,18.23,0.0,37.4,66.24,15.52,15.8,36.39,-9.54,0.0,58.7,134.29,787.68,29.88,36.39,56.38,196.07,18.23,0.0,37.4,66.24,15.52,15.8,-9.54,0.0,58.7,134.29,0.9588315681585248,0.019444123631375813,1.0,0.7233648330780982,0.010662958228801141,0.2837019117552615,0.6278179498085921,0.3642566733227862,0.48345750715304375,35
10,Jyoti Resins,1219.8,20.19,1463.76,49.98,290.05,29.89,0.0,60.43,53.89,36.22,42.41,31.56,-0.04,-0.27,30.73,122.37,1463.76,20.19,31.56,49.98,290.05,29.89,0.0,60.43,53.89,36.22,42.41,-0.04,-0.27,30.73,122.37,0.802650202547709,0.048958925946362926,1.0,0.8379978783991721,0.034599293513801845,0.533321915608744,0.10250957039557651,0.44233059469842684,0.4823888021755291,36
30,Amal,711.4,22.68,879.48,36.32,186.06,27.47,0.0,31.37,71.35,32.3,60.45,31.56,0.0,0.0,-11.01,-8.61,879.48,22.68,31.56,36.32,186.06,27.47,0.0,31.37,71.35,32.3,60.45,0.0,0.0,-11.01,-8.61,0.4693006003221244,0.04336964937270353,1.0,0.7881318622747682,0.050826707589014655,0.4815139902806626,0.8451722671203743,0.6810946222860137,0.4790041126523309,37
22,Evans Electric,160.0,12.8,87.81,40.82,25.48,37.52,0.0,13.79,59.44,9.49,10.58,22.31,0.0,0.0,138.95,-265.18,87.81,12.8,22.31,40.82,25.48,37.52,0.0,13.79,59.44,9.49,10.58,0.0,0.0,138.95,-265.18,0.5791156230172292,0.010846333391792608,1.0,0.8797123588888682,0.005967442626106527,0.6966667380274465,0.3385793279455552,0.5602042005641155,0.47718664171794156,38
44,Alldigi Tech,875.45,18.44,1334.04,31.36,576.89,24.3,0.24,47.07,73.39,230.2,280.57,35.28,0.55,0.01,12.32,48.02,1334.04,18.44,35.28,31.36,576.89,24.3,0.24,47.07,73.39,230.2,280.57,0.55,0.01,12.32,48.02,0.3482600419737422,0.3255425661908654,0.45080091533180766,0.9119828997817909,0.24882994407658904,0.41364988974759753,0.9319438536792857,0.5655475043956959,0.4687162048700187,39
63,Cemindia Project,856.4,33.03,14711.89,27.64,9442.39,9.54,0.48,25.93,67.46,467.61,1378.1,21.16,-0.85,-0.07,-3.23,-64.34,14711.89,33.03,21.16,27.64,9442.39,9.54,0.48,25.93,67.46,467.61,1378.1,-0.85,-0.07,-3.23,-64.34,0.25747962321245565,0.6640502578624158,0.0,0.2557465239789115,1.0,0.09766436171351514,0.6797107613781369,0.7231505169219131,0.46210518039141085,40
28,Wealth First Por,1064.3,30.42,1134.01,37.51,56.52,77.05,0.0,33.92,74.04,44.71,45.49,30.53,0.0,-0.09,481.01,35.67,1134.01,30.42,30.53,37.51,56.52,77.05,0.0,33.92,74.04,44.71,45.49,0.0,-0.09,481.01,35.67,0.4983405729903854,0.06106427240308953,1.0,0.6125736681191531,0.03736982762420404,1.0,0.9595916631220762,0.2235002883749262,0.4583799450653735,41
