S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,ROCE %,Sales Rs.Cr.,OPM %,Debt / Eq,EPS 12M Rs.,Prom. Hold. %,Free Cash Flow 3Yrs Rs.Cr.,CF Opr 3Yrs Rs.Cr.,Ind PE,Chg in FII Hold %,Chg in DII Hold %,WC Days,Cash Cycle,Mar Cap Rs.Cr._num,P/E_num,Ind PE_num,ROCE %_num,Sales Rs.Cr._num,OPM %_num,Debt / Eq_num,EPS 12M Rs._num,Prom. Hold. %_num,Free Cash Flow 3Yrs Rs.Cr._num,CF Opr 3Yrs Rs.Cr._num,Chg in FII Hold %_num,Chg in DII Hold %_num,WC Days_num,Cash Cycle_num,sc_roce,sc_fcf3,sc_debteq,sc_valuation,sc_cfop3,sc_opm,sc_prom,sc_wceff,investment_score,rank
85,Prithvi Exchange,127.6,33.21,105.27,23.84,3315.35,0.12,0.05,3.84,72.02,10.02,12.25,30.53,0.0,0.0,0.52,1.04,105.27,33.21,30.53,23.84,3315.35,0.12,0.05,3.84,72.02,10.02,12.25,0.0,0.0,0.52,1.04,0.1647469373810338,0.011602026397925128,0.8855835240274599,0.5548146609382192,0.0074696478093440755,0.0,0.8736707783921736,0.6437949994334737,0.32030936486792383,85
91,NDR Auto Compon.,956.15,39.06,2274.23,22.85,752.42,10.75,0.16,24.47,73.13,31.51,159.41,32.44,0.11,-0.17,-1.44,-10.52,2274.23,39.06,32.44,22.85,752.42,10.75,0.16,24.47,73.13,31.51,159.41,0.11,-0.17,-1.44,-10.52,0.14058763238811078,0.0422432390428079,0.6338672768878717,0.48131729495322007,0.13984360874661217,0.12356832437755579,0.9208847299021693,0.6608493167494272,0.3195974587902322,86
97,Sanghvi Brands,12.11,12.49,12.61,21.89,12.2,4.75,0.0,0.97,53.13,3.85,3.85,34.4,0.0,0.0,-6.28,45.77,12.61,12.49,34.4,21.89,12.2,4.75,0.0,0.97,53.13,3.85,3.85,0.0,0.0,-6.28,45.77,0.11716042754648842,0.0028046191378540896,1.0,1.0,0.0,0.0,0.07018290089323717,0.6113352842035757,0.3192024470120667,87
106,Atishay,184.1,25.43,202.17,20.35,58.21,17.97,0.1,7.24,74.99,7.09,10.14,32.5,0.0,0.0,51.09,89.34,202.17,25.43,32.5,20.35,58.21,17.97,0.1,7.24,74.99,7.09,10.14,0.0,0.0,51.09,89.34,0.07957928644638591,0.007424327326286855,0.7711670480549199,0.7477887301341736,0.005571652038906215,0.27813577101753373,1.0,0.43054452743719807,0.31224872199466763,88
78,Vadilal Inds.,5277.0,27.12,3794.16,25.11,1279.74,17.55,0.31,194.62,64.73,166.59,361.52,27.47,-0.2,0.03,78.3,142.53,3794.16,27.12,27.47,25.11,1279.74,17.55,0.31,194.62,64.73,166.59,361.52,-0.2,0.03,78.3,142.53,0.19573917711943004,0.23484514709635668,0.29061784897025156,0.6183493201401034,0.3216464168808283,0.2691443129027428,0.563589961718418,0.30966830198379425,0.31072239811603997,89
58,Loyal Equipments,207.0,20.16,223.35,28.26,73.74,22.54,0.19,10.45,70.68,11.47,17.53,34.71,0.0,0.03,101.31,223.37,223.35,20.16,34.71,28.26,73.74,22.54,0.19,10.45,70.68,11.47,17.53,0.0,0.03,101.31,223.37,0.2726096930060034,0.013669488395834855,0.5652173913043477,0.8752383640589473,0.012219134855747825,0.37597139859990203,0.8166737558485756,0.16871896879881088,0.30626199827451256,90
119,Nitin Castings,486.95,17.68,250.36,17.35,146.45,10.58,0.09,27.54,71.39,23.8,36.1,26.11,0.0,0.0,19.22,60.42,250.36,17.68,26.11,17.35,146.45,10.58,0.09,27.54,71.39,23.8,36.1,0.0,0.0,19.22,60.42,0.0063692713163160585,0.03125004455737066,0.7940503432494279,0.8143588468943321,0.028923296683724644,0.11992892466442612,0.8468736707783924,0.5360705201807812,0.3060042658899652,91
100,Bhatia Communic.,25.18,23.83,327.72,21.81,449.44,4.51,0.09,1.1,71.22,8.56,18.31,39.3,0.0,0.16,49.47,51.67,327.72,23.83,39.3,21.81,449.44,4.51,0.09,1.1,71.22,8.56,18.31,0.0,0.16,49.47,51.67,0.11520816047635317,0.009520306041409129,0.7940503432494279,0.8590905351597977,0.012920763623966557,0.0,0.8396427052318164,0.475006545131475,0.30478497453818376,92
25,Taurian MPS,319.35,30.24,283.68,39.32,73.53,20.51,0.27,14.85,63.8,0.14,0.0,34.71,,,107.27,190.92,283.68,30.24,34.71,39.32,73.53,20.51,0.27,14.85,63.8,0.14,0.0,,,107.27,190.92,0.5425106154521943,0.0,0.3821510297482835,0.6916909632037518,0.0,0.33251268437841247,0.5240323266695024,0.1898736851324614,0.303820259926828,93
121,Orbit Exports,219.34,15.19,581.5,17.05,230.08,23.44,0.04,14.44,66.05,105.85,124.2,22.36,-0.02,0.0,119.06,243.33,581.5,15.19,22.36,17.05,230.08,23.44,0.04,14.44,66.05,105.85,124.2,-0.02,0.0,119.06,243.33,0.0,0.1482398769218486,0.9084668192219679,0.812966529054659,0.10817136652996899,0.39523880884588275,0.6197362824330073,0.10656891769038879,0.2991044795248263,94
54,Captain Techno.,159.5,46.01,370.36,29.96,92.16,12.71,0.11,3.47,64.69,8.31,20.07,34.71,0.0,0.0,46.81,49.2,370.36,46.01,34.71,29.96,92.16,12.71,0.11,3.47,64.69,8.31,20.07,0.0,0.0,46.81,49.2,0.31409536824637635,0.00916384707625228,0.7482837528604118,0.40453396801660557,0.014503925972767806,0.1655284622465803,0.5618885580604,0.48387489395044514,0.298612515969749,95
17,Timex Group,403.25,72.59,4070.81,42.56,667.96,12.39,0.11,5.56,59.93,35.44,39.16,29.78,0.51,0.33,74.42,129.17,4070.81,72.59,29.78,42.56,667.96,12.39,0.11,5.56,59.93,35.44,39.16,0.51,0.33,74.42,129.17,0.6215774317926698,0.04784677397507356,0.7482837528604118,0.0,0.031675840312890446,0.15867782749245385,0.3594215227562741,0.3331423487289322,0.29569101166727785,96
36,D.P. Abhushan,1499.5,22.76,3423.05,33.64,3309.4,6.85,0.42,66.23,74.88,11.7,41.76,29.78,0.02,0.0,35.66,65.62,3423.05,22.76,29.78,33.64,3309.4,6.85,0.42,66.23,74.88,11.7,41.76,0.02,0.0,35.66,65.62,0.4038996534725953,0.013997430643779155,0.03890160183066338,0.7592856144917013,0.034014602873619564,0.0400762133116397,0.9953211399404509,0.49213165785985835,0.2943930257500386,97
118,Coral Labs.,487.0,9.42,173.86,17.44,102.17,17.32,0.02,50.13,71.51,0.11,5.99,32.82,0.0,0.0,140.18,129.13,173.86,9.42,32.82,17.44,102.17,17.32,0.02,50.13,71.51,0.11,5.99,0.0,0.0,140.18,129.13,0.00856557177021815,0.0,0.954233409610984,1.0,0.0018386271823578144,0.2642204191732144,0.8519778817524462,0.17989526447821547,0.2933255437100539,98
95,Gujarat Intrux,409.9,14.27,140.81,22.05,62.75,20.51,0.0,28.73,58.61,4.49,7.59,26.11,0.0,0.0,121.78,158.63,140.81,14.27,26.11,22.05,62.75,20.51,0.0,28.73,58.61,4.49,7.59,0.0,0.0,121.78,158.63,0.12106496168675882,0.003717154088655624,1.0,0.8969036674465816,0.0032778656812680407,0.33251268437841247,0.3032752020416845,0.19092505801022674,0.2920283637093273,99
48,Kingfa Science,4473.5,39.47,6062.21,30.55,1790.18,12.6,0.06,126.82,67.02,27.6,103.26,23.86,1.44,8.6,85.41,80.42,6062.21,39.47,23.86,30.55,1790.18,12.6,0.06,126.82,67.02,27.6,103.26,1.44,8.6,85.41,80.42,0.3284933378886234,0.036668220827754776,0.8627002288329519,0.19679712593627996,0.08933533267548141,0.1631735565498493,0.6609953211399404,0.3601767612528104,0.2913092163876505,100
40,Algoquant Fin,64.62,95.6,1816.44,32.78,223.41,16.21,0.33,0.81,73.68,3.09,13.83,30.53,-0.1,-0.03,-53.09,2.68,1816.44,95.6,30.53,32.78,223.41,16.21,0.33,0.81,73.68,3.09,13.83,-0.1,-0.03,-53.09,2.68,0.382912782468642,0.0017209838837772674,0.24485125858123546,0.0,0.008890895827017924,0.2404572798698383,0.9442790301999154,0.7591313326377773,0.2874303481039554,101
80,Interarch Build.,2520.7,33.15,4227.68,24.81,1698.99,9.26,0.01,76.49,59.43,52.36,166.37,21.16,0.14,0.0,51.0,71.47,4227.68,33.15,21.16,24.81,1698.99,9.26,0.01,76.49,59.43,52.36,166.37,0.14,0.0,51.0,71.47,0.18841817560642304,0.07197191673688912,0.977116704805492,0.2521621946717709,0.14610429621687165,0.0916700563036545,0.33815397703105077,0.4500549215363212,0.28319928075044204,102
101,Gravita India,1710.8,34.85,12627.15,21.5,4108.93,9.14,0.2,49.09,55.88,213.06,524.24,21.76,-0.44,0.46,78.16,92.35,12627.15,34.85,21.76,21.5,4108.93,9.14,0.2,49.09,55.88,213.06,524.24,-0.44,0.46,78.16,92.35,0.10764312557957932,0.3011037395397118,0.5423340961098397,0.2300868331837832,0.46801697221999833,0.0891010682708571,0.18715440238196537,0.36419185516465613,0.27868976839610277,103
49,Kaycee Inds.,1076.0,59.49,341.47,30.55,56.06,15.25,0.11,18.09,71.7,6.2,13.79,35.4,0.0,0.0,85.51,88.43,341.47,59.49,35.4,30.55,56.06,15.25,0.11,18.09,71.7,6.2,13.79,0.0,0.0,85.51,88.43,0.3284933378886234,0.006155333410328473,0.7482837528604118,0.18019007721127311,0.008854914864545168,0.21990537560745893,0.860059549128031,0.351292407797426,0.2783499849401747,104
71,Dynamic Cables,365.8,22.96,1772.62,26.37,1126.28,10.43,0.19,15.92,68.18,26.17,85.02,21.87,-0.72,-0.05,74.48,89.75,1772.62,22.96,21.87,26.37,1126.28,10.43,0.19,15.92,68.18,26.17,85.02,-0.72,-0.05,74.48,89.75,0.22648738347405942,0.034629275547057595,0.5652173913043477,0.5787957435495616,0.07292801378790481,0.11671768962342934,0.710336027222459,0.3755782890524537,0.27744276034973875,105
122,Ultra Wiring,110.95,20.62,57.73,16.87,55.85,9.76,0.26,5.38,74.13,1.28,16.02,32.44,0.0,0.0,18.36,-12.57,57.73,20.62,32.44,16.87,55.85,9.76,0.26,5.38,74.13,1.28,16.02,0.0,0.0,18.36,-12.57,0.0,0.0,0.40503432494279157,0.8405884843502817,0.010860853522401296,0.10237417310697708,0.963419821352616,0.6169085093258444,0.27659305105875265,106
77,Brady & Morris,1079.8,35.99,242.96,25.4,89.58,11.23,0.19,102.89,73.98,29.16,9.95,32.55,0.0,0.0,55.05,142.3,242.96,35.99,32.55,25.4,89.58,11.23,0.19,102.89,73.98,29.16,9.95,0.0,0.0,55.05,142.3,0.2028161452486701,0.03889252477033351,0.5652173913043477,0.5435005367560337,0.0054007424671606245,0.13384427650874547,0.9570395576350493,0.3641137823723555,0.27560707394503525,107
87,Alufluoride,449.65,17.15,351.65,23.62,200.2,19.79,0.29,24.0,59.94,33.43,70.22,23.75,0.0,0.0,52.6,75.77,351.65,17.15,23.75,23.62,200.2,19.79,0.29,24.0,59.94,33.43,70.22,0.0,0.0,52.6,75.77,0.15937820293816204,0.044980843895212494,0.33638443935926765,0.7859361132832154,0.05961505767298522,0.3170987561816279,0.35984687367077844,0.44168099048165854,0.2750197382721722,108
68,Univastu India,68.4,21.35,246.15,26.56,153.7,20.36,0.44,3.3,67.46,8.69,15.61,21.16,0.0,0.0,99.34,-259.04,246.15,21.35,21.16,26.56,153.7,20.36,0.44,3.3,67.46,8.69,15.61,0.0,0.0,99.34,-259.04,0.23112401776563044,0.00970566470329069,0.0,0.6046212432072551,0.010492048657055551,0.3293014493374156,0.6797107613781369,0.6525373551831043,0.2744735519603294,109
86,Bemco Hydraulics,114.4,37.09,500.32,23.73,97.59,21.15,0.27,3.07,74.69,12.12,16.72,34.71,0.0,0.0,19.07,198.63,500.32,37.09,34.71,23.73,97.59,21.15,0.27,3.07,74.69,12.12,16.72,0.0,0.0,19.07,198.63,0.16206257015959794,0.014596281705242662,0.3821510297482835,0.5669588505194174,0.01149052036567452,0.34621395388666526,0.9872394725648661,0.3871456522314902,0.273447027287939,110
114,Control Print,700.1,11.74,1119.75,18.46,438.49,17.84,0.02,60.8,52.98,58.31,154.16,25.04,-0.12,-0.19,128.45,240.91,1119.75,11.74,25.04,18.46,438.49,17.84,0.02,60.8,52.98,58.31,154.16,-0.12,-0.19,128.45,240.91,0.03345697691444189,0.08045564010762213,0.954233409610984,0.9460028437668905,0.13512110742206299,0.27535270064866985,0.06380263717566993,0.08650991027884214,0.2700201479498833,111
96,AGI Infra,266.2,45.0,3252.09,22.03,343.86,29.47,0.47,5.91,72.94,43.85,108.19,40.05,1.66,0.0,86.23,2.43,3252.09,45.0,40.05,22.03,343.86,29.47,0.47,5.91,72.94,43.85,108.19,1.66,0.0,86.23,2.43,0.12057689491922502,0.059838053562949974,0.0,0.532179531508165,0.09376998630024853,0.5243304574939529,0.9128030625265845,0.4424988547141224,0.26312596856011927,112
90,Magellanic Cloud,58.66,31.97,3428.06,22.91,636.17,33.25,0.47,1.84,58.3,90.52,334.66,27.65,-0.01,0.0,62.18,169.5,3428.06,31.97,27.65,22.91,636.17,33.25,0.47,1.84,58.3,90.52,334.66,-0.01,0.0,62.18,169.5,0.14205183269071217,0.12638181317843059,0.0,0.5115478347847655,0.2974852005803729,0.6052535805270716,0.290089323692046,0.3181158277491385,0.25733723111002266,113
112,Radix Industries,205.7,102.56,308.7,18.76,48.07,8.84,0.01,2.01,74.96,17.26,19.42,51.29,0.0,0.0,90.63,99.56,308.7,102.56,51.29,18.76,48.07,8.84,0.01,2.01,74.96,17.26,19.42,0.0,0.0,90.63,99.56,0.040777978427448895,0.021925078028867485,0.977116704805492,0.3768408661577801,0.01391923533258553,0.08267859818886354,0.9987239472564865,0.32733637544922,0.25663280541994277,114
74,Raghav Product.,916.55,92.57,4208.06,25.8,227.72,27.83,0.04,9.9,62.91,23.43,79.56,39.37,0.01,0.0,118.74,202.47,4208.06,92.57,39.37,25.8,227.72,27.83,0.04,9.9,62.91,23.43,79.56,0.01,0.0,118.74,202.47,0.21257748059934614,0.030722485288938527,0.9084668192219679,0.11479696950119456,0.06801661241037367,0.4892209543790549,0.4861760952786049,0.15066181946298274,0.2536182064122937,115
60,Danlaw Tech.,764.05,19.67,372.14,28.03,226.35,14.5,0.46,38.84,61.88,30.79,40.79,34.71,0.0,0.0,60.22,112.92,372.14,19.67,34.71,28.03,226.35,14.5,0.46,38.84,61.88,30.79,40.79,0.0,0.0,60.22,112.92,0.26699692517936474,0.04121663722315617,0.0,0.8841608071560748,0.033142064533655244,0.2038492004024751,0.44236495108464513,0.3837942618493768,0.2534453065213635,116
82,Agarwal Toughene,141.7,16.51,250.45,24.38,55.31,36.38,0.36,8.58,63.94,7.65,28.2,42.65,-0.62,-1.47,251.1,331.04,250.45,16.51,42.65,24.38,55.31,36.38,0.36,8.58,63.94,7.65,28.2,-0.62,-1.47,251.1,331.04,0.17792474010444637,0.008222795408238198,0.17620137299771144,0.9976690043046196,0.021817056595355395,0.672261351715871,0.529987239472565,0.0,0.2505237476375209,117
94,Jayant Infratech,82.0,10.21,84.76,22.29,121.61,9.16,0.32,8.28,56.28,8.9,9.71,21.16,0.0,0.0,8.16,79.77,84.76,10.21,21.16,22.29,121.61,9.16,0.32,8.28,56.28,8.9,9.71,0.0,0.0,8.16,79.77,0.12692176289716436,0.010005090234022445,0.2677345537757435,0.9373664805534662,0.005184856692324092,0.08952923294299,0.20416843896214396,0.5409529251922532,0.24871824374963492,118
104,Hypersoft Tech.,91.24,36.59,38.79,20.65,17.83,8.81,0.0,2.49,64.18,0.22,-1.23,27.65,0.0,0.0,84.34,81.61,38.79,36.59,27.65,20.65,17.83,8.81,0.0,2.49,64.18,0.22,-1.23,0.0,0.0,84.34,81.61,0.08690028795939284,0.0,1.0,0.40594169686957216,0.0,0.08203635118066421,0.5401956614206725,0.36138572536216174,0.2473955042722601,119
89,Power Mech Proj.,2396.3,23.76,7576.21,22.93,5520.15,11.92,0.34,100.86,58.33,88.04,387.6,21.16,1.94,-2.3,74.3,101.97,7576.21,23.76,21.16,22.93,5520.15,11.92,0.34,100.86,58.33,88.04,387.6,1.94,-2.3,74.3,101.97,0.14253989945824594,0.12284574024407466,0.22196796338672742,0.5326359629555163,0.34510600441306505,0.1486159576973306,0.29136537643555943,0.36279959610955603,0.24689792502393948,120
107,TPL Plastech,67.32,21.36,525.12,19.85,362.57,11.59,0.31,3.15,74.86,6.14,43.84,21.36,-0.02,0.0,62.23,94.95,525.12,21.36,21.36,19.85,362.57,11.59,0.31,3.15,74.86,6.14,43.84,-0.02,0.0,62.23,94.95,0.06737761725804094,0.006069783258690829,0.29061784897025156,0.6102964312768941,0.03588561292220287,0.1415512406071377,0.9944704381114421,0.39851744253609533,0.23202573176698138,121
66,Advait Energy,1731.0,55.92,1892.91,26.87,456.39,12.29,0.36,31.3,66.81,19.26,49.85,21.87,0.0,-0.15,5.26,-77.46,1892.91,55.92,21.87,26.87,456.39,12.29,0.36,31.3,66.81,19.26,49.85,0.0,-0.15,5.26,-77.46,0.2386890526624044,0.02477674975012228,0.17620137299771144,0.0,0.041291752533734405,0.1565370041317893,0.6520629519353469,0.7175301792671581,0.23032884793566993,122
116,WSFX Global,68.5,27.6,86.12,18.0,95.27,10.55,0.38,2.49,57.62,16.26,20.27,57.68,0.0,0.0,-6.85,98.19,86.12,27.6,57.68,18.0,95.27,10.55,0.38,2.49,57.62,16.26,20.27,0.0,0.0,-6.85,98.19,0.022231441261164494,0.02049924216824009,0.13043478260869545,0.9106878137285872,0.014683830785131585,0.11928667765622677,0.26116546150574227,0.5560474560327116,0.2225208386439389,123
127,Raunaq Intl.,65.0,10.81,21.73,15.05,28.53,4.31,0.22,6.01,52.28,0.87,-0.69,21.16,0.0,0.0,29.81,149.03,21.73,10.81,21.16,15.05,28.53,4.31,0.22,6.01,52.28,0.87,-0.69,0.0,0.0,29.81,149.03,0.0,0.0,0.49656750572082364,0.9194448340177636,0.0,0.0,0.034028073160357476,0.41568087644050467,0.20565476909795227,124
125,Walpar Nutrition,44.0,17.81,41.32,16.08,71.76,7.97,0.47,2.47,68.61,1.12,10.51,32.82,0.0,0.0,42.17,67.07,41.32,17.81,32.82,16.08,71.76,7.97,0.47,2.47,68.61,1.12,10.51,0.0,0.0,42.17,67.07,0.0,0.0,0.0,0.8993540603058884,0.005904475941779204,0.06405343495108226,0.7286261165461507,0.4753903978909033,0.20467106263081802,125
46,South. Magnesium,123.0,27.95,36.9,31.16,6.7,21.04,0.25,4.4,50.94,3.33,3.41,21.76,0.0,0.0,123.92,447.92,36.9,27.95,21.76,31.16,6.7,21.04,0.25,4.4,50.94,3.33,3.41,0.0,0.0,123.92,447.92,0.34337937429840426,0.002063184490327843,0.4279176201372996,0.43050289329397917,0.0,0.34385904818993435,0.0,0.09523998228396913,0.2036024652624631,126
81,Integra Engg.,225.05,41.23,774.74,24.45,175.8,18.97,0.32,5.46,54.39,3.3,53.38,34.71,-0.05,0.1,77.82,199.27,774.74,41.23,34.71,24.45,175.8,18.97,0.32,5.46,54.39,3.3,53.38,-0.05,0.1,77.82,199.27,0.17963297379081467,0.0020204094145090208,0.2677345537757435,0.49157331088246214,0.04446707247195509,0.29954400462417885,0.12377711612079982,0.24950483720885486,0.19027715220386693,127
